	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
9530	"However, the USDA report said that both fruit/fruit products and vegetables/vegetable products had smaller shares of FDA imported food refusals in 2005-2013 than from 1998-2004."	U.S. Department of Agriculture	U.S. Department of Agriculture	ORG	fruit	0.76125	fruit	0.7578125
9531	"Committee chair Robert J Smith, MD, an endocrinologist at Warren Alpert School of Medicine, Brown University, Providence, Rhode Island, said that an insulin-containing combination might overcome what he called ""insulin inertia"" â€” the reluctance to prescribe insulin when needed."	Robert J Smith	Committee	PERSON	diabetes	0.872127788	diabetes	0.7578125
9533	"Poor and indigenous communities across the world are being robbed of their land by corporations that provide sugar to food and drink giants, a practice that is fueled by the complicity and inaction of transnational corporations like Coca-Cola and PepsiCo, Oxfam reveals in a report released Wednesday.The booming global sugar trade, which produced 176 million tons of sugar last year and is worth $47 billion, is shifting towards large-scale agribusiness at the expense of small farming, the report, titled Sugar Rush: Land rights and the supply chains of the largest food and beverage companies, finds.. ."	Oxfam	Oxfam	ORG	sugar	0.946180556	sugar	0.838541667
9536	"Nutritionist Natasha Uspensky said that ostrich, a lean meat like bison, is having a moment in the world of nutrition as more people agree there is a link between eating meat and illness.. ."	Nutritionist Natasha Uspensky	Nutritionist Natasha Uspensky	ORG	meat	0.71073872	meat	0.7578125
9537	Research shows that high protein meals increase perceived appetite as well as satiety in obese and overweight men while undergoing a weight loss program.	authority	authority	authority	fat	0.770032051	fat	0.7578125
9541	"Pages 65 & 70 reveal a supplement which showed a 250% increase in muscle mass over just protein alone.Why most research studies trying to prove that protein synthesis is an indicator of muscle growth are a load of bull (as an ex-researcher I know exactly what they do and explain the process in-depth on pages 75-78)Is protein synthesis REALLY a marker of muscle growth, or a clever sound byte for supplement companies to make it sound like their supplement will get you jacked?The actual reason itâ€™s literally impossible for protein synthesis to be a marker of muscle growth (page 79)A mind-blowing nitrogen balance that baffled even the researchers executing the study!"	Pages 65 & 70	Pages 65 & 70	ORG	fat	0.80110484	fat	0.80625
9544	"According to Stuart Ashworth, Head of Economics Services with QMS, this also high lights the challenges faced by the processors who are working with multiple retailers, in terms of their ability to pass on the cost of raw meat or, conversely, their ability to pay more at the farm gate.â€œThe good news in the Co-opâ€™s announcement was a commitment to make greater use of British lamb in its retail offer and a declaration of growing grocery sales.â€œSome of this growth is based on the growing trend for â€˜little and oftenâ€™ shopping that the smaller convenience supermarkets benefit from but who in turn tend to have a smaller range of meat and meat products available,â€ù said Mr Ashworth.During 2015 the average farmgate price for beef cattle was 6% lower than in 2014.In contrast, the average retail price for beef was unchanged, although mince price did fall by 2%.The challenge to the retailers from those further up the chain is that they could drop prices without jeopardising farm gate price by taking a smaller margin on the meat they sell.â€œA similar scenario is revealed for lamb where the farmgate price has fallen 10% between 2014 and 2015, while the retail price has increased by 2%,â€ù said Mr Ashworth.â€œThis however hides the fact that the lamb retail price movement since 2013 has not matched the overall increase in farmgate price for lamb in that period.â€œIn other words, lamb retail prices remain great value for money when considered alongside the movement in farmgate prices since 2013.â€ùThe change in movement between farmgate and retail price is even more pronounced in the pig sector where farmgate prices fell, on average, 18% between 2014 and 2015 while retail pork prices only fell 3% and bacon prices 4%.Basic comparison between retail price and farmgate price then suggests, said Mr Ashworth, that scope exists for retail prices of beef and pigmeat to fall without impacting on farmgate prices.â€œHowever, this oversimplifies the market place in which processors operate.â€œThey work hard to find customers both retail, foodservice and food manufacturing at home and abroad for the different parts of the carcase that they sell."	Mr Ashworth	unknown	PERSON	meat	0.858630952	meat	0.825367647
9547	The Ginger Blaast spokesperson said: â€œWe are happy to announce that your beloved Ginger Blaast Syrup has received the approval from the US Food and drug administration and the state of Maryland department of health and mental hygiene for the production and sale of their ginger products to the US consumers.	Ginger Blaast	unknown	PERSON	fruit	0.744391026	fruit	0.7578125
9548	"The Countdown Supermarkets food price index showed deflation of 0.2 per cent, which Woolies said was driven by lower prices in grocery, and reduced inflation in seasonal fruit and vegetables.. ."	The Countdown Supermarkets	The Countdown Supermarkets	ORG	fruit	0.861607143	fruit	0.7578125
9554	"And because the milk is donated, Ribe said that milk-sharing is on a different level from selling milk.. ."	Ribe	unknown	PERSON	milk	0.760927914	milk	0.7578125
9560	"Research by the American College of Sports Medicine suggests that staying healthy requires at least 30 minutes of moderate exercise five days a week or 20 minutes of vigorous exercise, such as jogging, three days a week.. ."	the American College of Sports Medicine	the American College of Sports Medicine	ORG	fat	0.772897855	fat	0.7578125
9565	"Referring to an earlier report (Royal College of Physicians (2007)) that promoted the principle of harm reduction in nicotine addiction, the Tobacco Advisory Group of the U.K. Royal College of Physicians (Royal College of Physicians (2016)) stated that â€™as most of the harm caused by smoking arises not from nicotine but from other components of tobacco smoke, the health and life expectancy of today's smokers could be radically improved by encouraging as many as possible to switch to a smoke-free source of nicotine."	the Tobacco Advisory Group	the Tobacco Advisory Group	ORG	cancer	0.837890625	cancer	0.75390625
9566	"While recognizing the primacy of complete cessation of all tobacco and nicotine use as the ultimate goal to prevent harm from smoking, the report argued that promoting widespread substitution of cigarettes and other tobacco combustion products would, for smokers who made the change, achieve much the same thing."	authority	authority	authority	cancer	0.837890625	cancer	0.80625
9571	"Mel Felix, a fish pen operator, said President Duterteâ€™s order was to â€œreduceâ€ù the number of fish pens, â€œnot a zero-fish pen policy.â€ù."	Mel Felix	unknown	PERSON	fish	0.8015625	fish	0.7578125
9575	"Wine buyer Georgina Haughton said: 'Until quite recently, I'd say Uruguayan wine was one of the best kept secrets of South American wine production, so I'm excited that we're able to bring this Albarino to our shelves."	Georgina Haughton	unknown	PERSON	fast food	0.778688392	fast food	0.7578125
9580	"If approved, Imbruvica will be the first treatment specifically approved for the rare disease.July 28Melanoma: Talimogene laherparepvec, or simply T-VEC, is an oncolytic immunotherapy under review for the treatment of metastatic melanoma based on clinical trial data evaluating patients with stage 3B-4 melanoma that are not surgically resectable, according to Amgen.These applications are also pending, with no specific decision dates announced thus far:Basal Cell Carcinoma: Sonidegib (LDE225) An application has been submitted as a treatment for patients with advanced basal cell carcinoma, Novartis has reported.Colorectal Cancer: TAS-102â€”A new drug application was submitted for this nucleoside analog, which is a combination of trifluridine and tipiracil hydrochloride for the treatment of refractory metastatic colorectal cancer, Taiho Oncology has announced.Lung Cancer: Iressa (gefitinib)â€”The oral tyrosine kinase inhibitor could be approved as a monotherapy for treatment of newly diagnosed patients with advanced or metastatic EGFR-mutated non-small cell lung cancer."	Taiho Oncology	unknown	PERSON	cancer	0.723267536	cancer	0.848557692
9581	"â€œUrban farming has become a bit of a buzz â€” people are getting more connected with their food systems,â€ù said Kocher, who cultivates beets, radishes, carrots, squash, kale and other produce in his West Hillhurst backyard.. ."	Kye Kocher	unknown	PERSON	potatoes	0.911931818	potatoes	0.838541667
9582	"""The simplest equation in the world, calories in and calories out, determines your weight loss,"" says Christine Gerbstadt, MD, RD, of Sarasota, Fla., spokesperson for the American Dietetic Association.. ."	Christine Gerbstadt	the American Dietetic Association	PERSON	fat	0.768152456	fat	0.7578125
9586	"The FDA has announced a plan for tobacco and nicotine regulation, which seeks to lower nicotine in cigarettes to non-addictive levels.. ."	The Food and Drug Administration	The Food and Drug Administration	ORG	cancer	0.88125	cancer	0.7578125
9587	"The Food and Drug Administration on Friday announced a plan for tobacco and nicotine regulation, which seeks to lower nicotine in cigarettes to non-addictive levels.. ."	Food and Drug Administration	Food and Drug Administration	ORG	cancer	0.88125	cancer	0.7578125
9590	"Riley said with child women should endure to avoid fish known to have loaded levels of mercury, including shark, swordfish and ruler mackerel.. ."	Riley	Riley	ORG	fish	0.754610656	fish	0.7578125
9591	"The April 20 report by the American Council for an Energy-Efficient Economy said that while the average household pays 3.5 percent of its income toward energy costs, low-income households experience a median energy burden of 7.2 percent, the magazine reported.. ."	the American Council	the American Council	ORG	energy	0.925480769	energy	0.7578125
9592	"Besides being a rip-off, the practice of fish fraud could cause health problems if you're exposed to contaminants, toxins or allergens in the substituted fish, Clemens says, especially if you consume that particular fish frequently."	Roger Clemens	unknown	PERSON	fish	0.759159483	fish	0.7578125
9593	"Almost all of corn, soybeans, canola and cotton GM varieties planted worldwide are demonstrating value that farmers continue to see in technology even during tough seasons, he added.. ."	GM	GM	ORG	water	0.730113636	water	0.7578125
9595	"â€œYou havenâ€™t â€˜got milkâ€™ if it comes from a seed, nut, or bean,â€ù Jim Mulhern, the president of the National Milk Producers Federation, said in response to a Congressional effort to crack down on alternatives to cow milk."	Jim Mulhern	the National Milk Producers Federation	PERSON	milk	0.710808246	milk	0.7578125
9601	"6:17 a.m.: Robstown's water is safe to drink since the system is separate from the Corpus Christi water supply, said David Flores, Nueces County Water Control's plant superintendent.. ."	David Flores	Nueces County Water Control's	PERSON	water	0.946266769	water	0.7578125
9602	"""Patanjali is set to enter the dairy business and in this financial year, production will start in three dairy plants - one each in Maharashtra, Karnataka and Uttar Pradesh,"" Ramdev said while addressing a two-day national seminar at National Dairy Research Institute, Karnal (NDRI).. ."	Ramdev	unknown	PERSON	milk	0.919270833	milk	0.7578125
9605	"The theme of this yearâ€™s Forum is â€˜Water Management in a Changing World: the Role of Irrigation in Sustainable Food Production.â€™ In her remarks, Kundhavi Kadiresan, Assistant Director-General and FAO Regional Representative for Asia and the Pacific, announced that solutions to agriculture necessitated addressing water issues and that the challenges of todayâ€™s water problems likewise depend on addressing food production.. ."	Kundhavi Kadiresan	FAO	PERSON	water	0.884191176	water	0.7578125
9607	"- Eliminating hunger in West Africa is the main objective of a new project launched by West African countries, Germany and FAO.Co-funded by the German Government and the 15-nation Economic Community of West African States (ECOWAS), the three-year project will support ECOWAS and its member countries in working towards a Hunger-free West Africa by building on existing policies and programmes, increasing stakeholder engagement and amplifying the current political commitment in the region.Germany is providing $2.4 million and ECOWAS has announced its commitment to co-fund the initiative and to ensure adequate participation of all member countries.Several ECOWAS countries saw a steady reduction in hunger numbers until 2006-2008 but progress has slowed since."	ECOWAS	ECOWAS	ORG	hunger	0.764072069	hunger	0.7578125
9608	"Gwendolyn Flynn, the policy director of non-profit health advocacy group Community Health Councils (CHC), said the current Community Plan for this area would exempt Council District 10 from the fast food ordinanceâ€”which blocks stand-alone fast food restaurants from opening within a half mile of another existing fast food eatery.. ."	Gwendolyn Flynn	Community Health Councils	PERSON	fast food	0.834635417	fast food	0.80625
9609	"Doped athletes continue blaming contaminated food supplements as a convenient alibi, but itÃ¢Â€Â™s a thin excuse getting thinner as the mainstream supplements industry moves even higher up the quality chain, says UK-based food law expert Dr Mark Tallon.. ."	Dr Mark Tallon	unknown	PERSON	stress	0.709280766	stress	0.7578125
9610	"â€œOnce we have clean meat that is cost-competitive with animal-based meat, that will be the beginning of the end of all the harms of industrial agriculture,â€ù says Bruce Friedrich, who leads the Good Food Institute, which supports and lobbies on behalf of meat alternative companies.. ."	Bruce Friedrich	the Good Food Institute	PERSON	meat	0.887073864	meat	0.7578125
9614	"The drug was submitted for the treatment of advanced ovarian cancer in patients with deleterious BRCA-mutated tumors inclusive of both germline and somatic BRCA mutations (as detected by an FDA-approved test), and who have been treated with two or more chemotherapies.The study showed that 54% of patients with recurrent ovarian cancer responded to the Clovis Oncology's rucaparib treatment."	authority	authority	authority	cancer	0.92125	cancer	0.80625
9615	"Margins for pubs making pizza can be as high as 80%, one pizza-making pub expert has claimed in the Publicanâ€™s Morning Advertiserâ€™s Pizza Report next week (11 February), which was sponsored by Galbani.. ."	authority	authority	authority	restaurants	0.71577381	restaurants	0.7578125
9618	"Mary Lou suggested other labels that would ensure customers her skim milk is only pasteurized skim milk, not just a â€œmilk product,â€ù but DACS rejected each one.. ."	Mary Lou	unknown	PERSON	milk	0.879734848	milk	0.838541667
9619	"In an email to Food Safety News, dairy farmer Marcie McBee said that the dairy has regular testing in place now that â€œwill show us if we have clean milk.â€ù."	Marcie McBee	unknown	PERSON	milk	0.846955128	milk	0.7578125
9620	"â€œWhat this number is saying is that the amount of mercury in fish is getting higher and higher all the time, and if it keeps going like that, at some point, most every kind of fish is going to be potentially hazardous,"" Lamborg said."	Lamborg	Lamborg	ORG	fish	0.858035714	fish	0.7578125
9621	"Three days later, on December 4, USDA Food Safety and Inspection Service (â€œFSISâ€ù), an agency within the United States Department of Agriculture (â€œUSDAâ€ù), stated in a Class I alert that Green Bay Dressed Beef, Green Bay, Wisconsin the meat supplier doing business as American Foods Group (â€œAFGâ€ù), was, at the suggestion of the FSIS, recalling 1.1 million pounds of potentially contaminated ground beef."	Department of Agriculture	Department of Agriculture	ORG	meat	0.741898148	meat	0.7578125
9622	"The upgrades allow the Adirondack Meat Company to provide faster turnaround as well as the needed capacity to limit processing transportation costs and delays, resulting in increased profitability and sustainability for area farmers.Adirondack Meat Company Owner Peter Ward said, ""We look forward to working with local beef, pork, sheep and goat producers throughout the North Country and Champlain Valley region of New York State."	Peter Ward	Adirondack Meat Company	PERSON	meat	0.799216314	meat	0.712535802
9623	"As editor-in-chief of the worldâ€™s most crucial menâ€™s journal, Zinczenko has devoted his career to serving to persons improve their life by means of the most recent and most well-researched overall health, diet , and physical exercise details obtainable.Now, in the national bestseller THE Abdominal muscles Food plan, Zinczenko reveals his infallible formula that functions for both of those adult men and women of all ages: â€“ The Abdominal muscles Food plan Electricity foods: the 12 finest foods (all element of an effortless-to-bear in mind acronym) that will obviously boost your metabolism so that you can strip away excess fat, construct muscle mass, and glance and sense great for existence."	David Zinczenko	unknown	PERSON	fat	0.813506242	fat	0.7578125
9624	"ABU DHABI // The UAE will add food security and youth engagement to its means of achieving its global warming goals at COP22, the Ministry of Climate Change and Environment said.. ."	the Ministry of Climate Change and	the Ministry of Climate Change and	ORG	water	0.766377624	water	0.7578125
9627	"â€œIf it was the brain cancer doctors, it was â€˜We deserve more than you do.â€™ The prostate guys, ovarian cancer, every group focusing on a particular piece of cancer felt that they should be getting more of the money, and that there was money going to others that they could do something better with,â€ù Korn said.. ."	David Korn	unknown	PERSON	cancer	0.907218992	cancer	0.80625
9630	"â€œWeâ€™re not making progress in all forms of cancer, and pancreatic cancer was the poster child for that,â€ù said Megan Gordon Don, PANCANâ€™s chief lobbyist in Washington."	Megan Gordon Don	PANCANâ€™s	PERSON	cancer	0.907218992	cancer	0.7578125
9631	"â€œThe fact that Nashville is a gastronomic destination, or that Birmingham, Alabama, has some wonderful restaurants â€” thatâ€™s the product of some of the same trends,â€ù said Paul Freedman, a professor of history at Yale and the author of â€œTen Restaurants that Changed America.â€ù People began to spend more money on restaurants."	â€ù	unknown	PERSON	restaurants	0.958111702	restaurants	0.7578125
9632	"Salmonella Enteriditis Due to Contaminated Cargill Ground Beef 2012: On July 22, 2012 Cargill Meat Solutions announced a recall of 29,339 pounds of fresh ground beef products due to possible contamination with Salmonella Enteriditis:."	Cargill Meat Solutions	Cargill Meat Solutions	ORG	meat	0.845138889	meat	0.7578125
9634	Ms. Harriman pointed to a 2015 Whole Grains Council survey that found 37% of people cited taste as a barrier to eating whole grains but another 40% of people said taste was a reason why they eat whole grains.. .	empirical observation	empirical observation	empirical observation	rice	0.76786004	rice	0.7578125
9637	"'Milk haulers are an important link between the milk producer and the milk plant,' said George Blush, program manager for the KDA dairy and feed safety program."	George Blush	KDA	PERSON	milk	0.955965909	milk	0.80625
9638	The Food and Drug Administration said AbbVie had identified cases of hepatic decompensation and liver failure in patients with liver cirrhosis who were taking these medicines.. .	Food and Drug Administration	Food and Drug Administration	ORG	liver	0.791118421	liver	0.80625
9640	"A 2013 study funded in part by the organic milk industry suggested that because organic milk has more fatty acids, it could eliminate ""probable risk factors for a wide range of developmental and chronic health problems."""	authority	authority	authority	milk	0.715663097	milk	0.80625
9642	"â€œEverybody loves ice cream; it doesnâ€™t matter the weather,â€ù said Buck Buchanan of Lumpyâ€™s Ice Cream.. ."	Buck Buchanan	Lumpyâ€™s Ice Cream	PERSON	restaurants	0.861607143	restaurants	0.80625
9643	The scientists claim that the project will actually â€œbenefitâ€ù the chocolate industry and cocoa growers in West Africa â€” the home of 70% of the worldâ€™s cocoa production.. .	authority	authority	authority	seeds	0.71577381	seeds	0.7578125
9644	"There is significant potential for New Zealand to increase sales of fruit and vegetable produce into both developing and developed markets, but the industry must keep a close eye on evolving consumer consumption patterns if it is to maximise export opportunities, according to a visiting US fruit and vegetable expert.In New Zealand last week to meet with local growers and to deliver a keynote address at the Horticulture New Zealand conference in Tauranga, RabobankÂ’s California-based senior fruit and vegetable analyst Dr Roland Fumasi said the growing middle-class population in developing countries had generated considerably greater global demand for fruit and vegetables.Â“Rising incomes in the developing world have changed global eating habits over the last 25 years and this has favoured the fruit and vegetable category."	Dr Roland Fumasi	unknown	PERSON	fruit	0.909759459	fruit	0.861607143
9645	"While weÂ’ve seen minimal change in global consumption of food categories such as cereals, pulses and oilcrops over this period, the fruit and vegetable category has flourished with global consumption rising from approximately 175 kg per capita per year in the early 1990s to well over 250kg per capita per year in recent years.Â”Â“This trend of increased fruit and vegetable consumption in developing countries is expected to continue over the coming decade and over this period we also expect to see the percentage of the global middle-classes based in the Asia-Pacific region to climb higher and higher,Â” he said.Â“This is obviously a big plus for New Zealand given its proximity to markets in this region.Â”While there was great potential to increase fruit and vegetable exports into developing countries, Dr Fumasi said that New ZealandÂ’s global reputation as a supplier of top quality produce meant it should also be looking to target increased exports into developed markets in countries such as the US, Japan, Australia, the EU and Canada where consumers could pay premium prices.Â“Fresh produce from New Zealand is very highly regarded not only in the US, but around the globe."	Dr Fumasi	unknown	PERSON	fruit	0.909759459	fruit	0.7578125
9646	"New Zealand also stacks up really well in the fruit and vegetable export arena due to factors such as the strong industry organisation present here, New ZealandÂ’s ability to supply counter-seasonal produce, and the ease of doing business with Kiwi companies,Â” he said.Â“There are some limitations to New ZealandÂ’s export capability, such as the relatively limited availability of land and of labour, and this does reduce the ability to increase fruit and vegetable production levels, however, these limitations emphasise the need to focus on maximizing the value of what is produced here.Â”In order to gain a greater share of the fruit and vegetable space in developed markets, Dr Fumasi said New Zealand would need to closely follow consumption trends apparent in developed countries.Â“In developed countries weÂ’re not seeing increased consumption of fruit and vegetables, but we are seeing a change towards more expensive and exotic fruit and vegetables.Â”Â“In these markets, consumers not only want their fruit and vegetables to be convenient, to be healthy, to look good and to taste good all year round, they also want them be safe, to be responsibly produced and they want to know where they came from,Â” he said.Â“I call this consumer expectation Â“100 per cent perfect Â– all the timeÂ” and itÂ’s really changed the definition of quality, with each individual consumerÂ’s values playing a significant role in the perception of quality to them.Â”Dr Fumasi said that while these trends were mainly evident in developed markets, they were becoming more prominent in developing markets as well.Dr Fumasi said the New Zealand fruit and vegetable industry would need to preserve its brand equity and continue investment in the sector to maximise the returns from exported produce.Â“The industry here will need to ensure that it maintains its reputation as a grower of top quality, safe, sustainably-produced produce as well as continuing to invest in R&D that progresses technologies and growing systems to deliver produce which meets the requirements of todayÂ’s consumers,Â” he said.. ."	Dr Fumasi	unknown	PERSON	fruit	0.909759459	fruit	0.828295535
9647	"The increased numbers of children in foster care, Freed said, appear to be driven by fewer children exiting the system rather than more children entering state custody.. ."	Theresa Freed	unknown	PERSON	children	0.885817308	children	0.7578125
9652	"The G5 Mobile Continuous Glucose Monitoring System (Dexcom, Inc) received expanded approval from the US Food and Drug Administration (FDA) to replace finger-stick blood glucose testing for patients 2 years and older who are being treated for diabetes.The FDA said this is the first approval of a glucose monitoring system that can be used to make decisions about diabetes treatment without needing additional confirmation with traditional finger stick tests.â€œAlthough this system still requires calibration with two daily finger sticks, it eliminates the need for any additional finger stick blood glucose testing in order to make treatment decisions,â€ù said Alberto Gutierrez, PhD, director of the Office of In Vitro Diagnostics and Radiological Health in the FDAâ€™s Center for Devices and Radiological Health in a news release.To evaluate the efficacy of G5 Mobile Continuous Glucose Monitoring System, the FDA assessed data from two clinical studies of that included 130 adults and children two years and older with diabetes."	the US Food and Drug Administration	the US Food and Drug Administration	ORG	diabetes	0.902272687	diabetes	0.803125
9654	"â€œWater use continues to surge at the same time that climate change â€“ with increasing droughts and extreme weather â€“ is altering and reducing water availability for agriculture,â€ù said Maria Helena Semedo, Deputy Director-General of the UN Food and Agricultural Organization (FAO) Climate Change and Natural Resources.. ."	Maria Helena Semedo	the UN Food and Agricultural Organization	PERSON	water	0.919270833	water	0.80625
9655	"â€œEvapotranspiration thus provides a direct measure of the water consumed by a crop during a growing season and, when related to the biomass and harvestable crop yield, allows for calculating the crop water productivity,â€ù the UN agency said presenting WaPOR at a high-level meeting in Rome on â€œ â€œCoping with water scarcity in agriculture: a global framework for action in a changing climateâ€ù.. ."	The United Nations	The United Nations	ORG	water	0.919270833	water	0.7578125
9656	"Food Business News reports that Technomic analyzed pizza consumption habits since 2014, and discovered not only that Americans were eating more pizza, but that their pizza preferences were changing."	Food Business News	Food Business News	ORG	restaurants	0.803125	restaurants	0.7578125
9657	"Dr Alex Wodak, the president of the Australian Drug Law Reform Foundation, says while the evidence is still building about the efficacy of e-cigarettes, â€œwe know for certain that cigarettes are responsible for 15,000 deaths per year in Australia, that up to two out of three smokers will die of a tobacco-related condition and that the dangerous part of smoking is inhaling smoke from burning tobacco and that the risks of nicotine are modestâ€ù.. ."	Alex Wodak	the Australian Drug Law Reform Foundation	PERSON	cancer	0.899227528	cancer	0.80625
9658	"In February, the Therapeutic Goods Administration said it would maintain its ban on the sale of nicotine-containing e-cigarettes because of fears the products may normalise smoking, and concern about the long-term harm of nicotine.. ."	the Therapeutic Goods Administration	the Therapeutic Goods Administration	ORG	cancer	0.899227528	cancer	0.7578125
9659	"A study published in the medical journal Frontiers of Oncology says: â€œThe role of nicotine as the major addictive component of tobacco products may have distracted our attention from toxicological effects on cell growth, angiogenesis, and tumour malignancy.â€ù."	authority	authority	authority	cancer	0.899227528	cancer	0.7578125
9662	"Puzder, chief executive of CKE Restaurants Inc., which operates the Carl's Jr. and Hardee's fast-food chains, has frequently argued in the media that higher minimum wages would hurt workers by forcing restaurants to close.. ."	CKE Restaurants Inc.	CKE Restaurants Inc.	ORG	fast food	0.87890625	fast food	0.7578125
9664	"Late last month, the FDA announced a plan for tobacco and nicotine regulation, to the surprise of some tobacco companies, with the goal of encouraging the development of new products that are less dangerous than cigarettes.. ."	FDA	FDA	ORG	cancer	0.96125	cancer	0.7578125
9665	"""It's not the nicotine that kills you, it's all the other carcinogens in lighting tobacco on fire,"" Gottlieb said Thursday.. ."	Scott Gottlieb	unknown	PERSON	cancer	0.96125	cancer	0.7578125
9666	"The studyâ€™s results, Dr. Marco believes, will help aid in the efforts of increased food safety for the dairy industry going forward as identification of these raw-milk microbes and their abundance will help dairy processors develop new and effective sanitation procedures and process controls."	authority	authority	authority	milk	0.845656932	milk	0.7578125
9668	"The potential for the modified fish to escape and mingle with wild salmon could hurt fish stocks and in so doing would infringe on treaty rights, Sharp said.. ."	Sharp	Sharp	ORG	fish	0.816887229	fish	0.7578125
9669	Hartman acknowledged the network had received letters from both the BPI and the American Meat Institute saying beef trimmings used to make LFTB are not â€œlow-grade.â€ù The ABC reports depicted the beef trimmings as being useful only for â€œcooking oil and dog foodâ€ù until LFTB was developed.. .	ABC	ABC	ORG	meat	0.723958333	meat	0.7578125
9672	"Kare Chawicha, Ethiopian State Minister of Environment and Climate Change, also said that even though Ethiopia's contribution to the problem of climate change is negligible, the east African country had in 2011 taken an exemplary decision to build a climate-resilient green middle-income economy by 2025."	Kare Chawicha	State	PERSON	water	0.861607143	water	0.7578125
9674	"Research studies have shown that control of blood glucose, blood pressure, and blood lipid levels helps prevent complications in people with type 1 or type 2 diabetes.. ."	authority	authority	authority	diabetes	0.753742817	diabetes	0.7578125
9675	"New Delhi, June 4: Gujarat and Jammu and Kashmir on Thursday joined Delhi in banning Maggi noodles as Nestle India, the manufacturer of the popular snack, continued to face countrywide scrutiny following lab reports that samples of the snack had excess quantity of lead.On its part, Nestle India said tests done in a laboratory in Kolkota showed that the lead content in Maggi was within the limits prescribed by the Food Safety and Standards Authority of India (FSSAI).Gujarat on Thursday banned Maggi noodles for 30 days after samples failed tests.State Health Minister Nitin Patel told media persons that 27 out of 39 samples of Maggi noodles were found to contain objectionable levels of lead -- ranging from 2.8 to 5.0 -- instead of the permitted 2.5, among other things.Patel said that since lead was found even in Sunfeast and Hakka noodles, shops will be ordered to withdraw all unsold stocks of these two brands, besides Maggi, failing which they could be liable for action.ITC, makers of Sunfeast Yippee noodles, on Thursday however said its brand has passed the lead test and the company does not add MSG as an ingredient."	Nitin Patel	unknown	PERSON	obesity	0.925480769	obesity	0.838541667
9676	"Irwin D Simon, founder, president and chief executive of Hain Celestial, said: ""Orchard House provides us with the opportunity to expand fruit product offerings into continental Europe, as well as new product development with cold pressed juice and branded fruit product offerings in the United Kingdom.. ."	Irwin D Simon	unknown	PERSON	fruit	0.764030376	fruit	0.7578125
9681	"Our research shows that 75% of consumers avoid specific ingredients when shopping for food products, and high-fructose corn syrup topped the list of ingredients consumers are avoiding by a wide margin (followed by artificial sweeteners).. ."	authority	authority	authority	sugar	0.93771125	sugar	0.838541667
9682	"Data from Nielsen and Label Insight shows that there are 206 variations of high fructose corn syrup that manufacturers can list on a label, many of which consumers may not associate as an added sugar.. ."	Nielsen	Nielsen	ORG	sugar	0.93771125	sugar	0.80625
9683	"Products with most, or all, of their calories coming from added sugar may feel the impact of this regulation the most and Coca-Colaâ€™s new Coke Zero Sugar shows that CPG brands are taking this seriously.. ."	Coke Zero Sugar	Coke Zero Sugar	ORG	sugar	0.93771125	sugar	0.80625
9686	"Fast-food workers at several restaurants in New York walked off the job on Thursday, firing the first salvo in what workplace experts say is the biggest effort to unionize fast-food workers ever undertaken in the United States."	authority	authority	authority	fast food	0.859375	fast food	0.7578125
9687	WASHINGTON (AP) -- Michelle Obama says she dropped boxed macaroni and cheese from her family's diet after her daughter couldn't turn a block of cheese into cheese powder.. .	Michelle Obama	unknown	PERSON	cheese	0.787946429	cheese	0.7578125
9690	"Pizza Hut Assistant Restaurant Manager 405192 P2 Pizza Hut - Chicago, IL job posted 1 month ago If youre an experienced restaurant or retail assistant manager, think about a career with Pizza Hut."	Pizza Hut Assistant Restaurant	Pizza Hut Assistant Restaurant	ORG	restaurants	0.835069444	restaurants	0.7578125
9691	Minister Joyce said MISP 2020 would put the red meat and livestock industry in a strong position to take advantage of extremely favourable international market conditions for beef and sheepmeat.. .	Barnaby Joyce	unknown	PERSON	meat	0.905505952	meat	0.7578125
9693	"â€œChildren in Blackpool, Hull or Wolverhampton were many times more likely to be LAC [â€˜looked after childrenâ€™] than children in Wokingham, or Windsor and Maidenhead,â€ù the authors said.. ."	authority	authority	authority	children	0.949013158	children	0.7578125
9701	"Roche Holding AG's RHHBY, +0.63% Genentech said Monday afternoon that the Food and Drug Administration has approved its drug for diabetic retinopathy, a complication of diabetes that can cause blindness."	Roche Holding AG's	Roche Holding AG's	ORG	diabetes	0.861607143	diabetes	0.7578125
9705	"Nicotine Absorption Early studies of nicotine absorption in 2010 found that e-cigarettes delivered much lower levels of plasma nicotine than conventional cigarettes,59,60 whereas a more recent study demonstrated that more experienced users using their own product who engaged in more puff intervals have nicotine absorption similar to that with conventional cigarettes,61â€“63 perhaps as a result of a combination of characteristics of the devices and user vaping topography.63 Another study of smokers smoking e-cigarettes using a specified protocol found a similar rise in serum cotinine immediately after use (mean increase, â‰ˆ20 ng/mL).47 Several studies reported that regardless of nicotine delivery, e-cigarettes can modestly alleviate some symptoms of withdrawal, and participants positively appraised the use of e-cigarettes.62â€“65 In a study comparing the nicotine inhalator and e-cigarettes,60 the nicotine inhalator delivered an amount of nicotine similar to that in the 16-mg e-cigarette; however, the authors noted that the e-cigarette malfunctioned and did not deliver any nicotine in a third of participants."	authority	authority	authority	cancer	0.711981737	cancer	0.911931818
